gene_name,bio_process,mol_func,syst_id,G0.05,G0.1,G0.15,G0.2,G0.25,G0.3,N0.05,N0.1,N0.15,N0.2,N0.25,N0.3,P0.05,P0.1,P0.15,P0.2,P0.25,P0.3,S0.05,S0.1,S0.15,S0.2,S0.25,S0.3,L0.05,L0.1,L0.15,L0.2,L0.25,L0.3,U0.05,U0.1,U0.15,U0.2,U0.25,U0.3
ECM31,pantothenate biosynthesis,3-methyl-2-oxobutanoate hydroxymethyltransferase activity,YBR176W,-0.15,-0.17,-0.14,0,0.04,0.21,-0.83,-0.69,-0.18,0.1,-0.22,0.01,0.14,-0.01,0,-0.21,-0.08,0.37,-0.6,-0.7,-0.18,-0.09,0.07,0.02,0.13,0.42,0.44,0.29,-0.01,0.21,0.21,-0.17,0,0.06,0.06,-0.11
,biological process unknown,molecular function unknown,YMR158C-A,-0.67,-0.42,0.18,-0.29,-0.24,0.09,-1.31,-0.93,-0.11,-0.08,0.46,0.27,0.7,0.7,0.75,0.6,0.41,0.36,-0.7,-0.78,-0.83,-0.89,-0.86,-0.89,-0.08,0.06,0.75,0.47,0.69,0.2,-1.12,-0.95,-0.33,0.53,0.18,-0.05
,biological process unknown,molecular function unknown,YCL021W-A,-1.06,-0.38,0.02,-0.4,-0.11,0.71,-2.36,-1.79,-0.66,-0.36,0.45,0.75,-0.54,-0.07,-0.16,-0.12,-0.15,0.28,-1.56,-1.08,-0.97,-0.98,-0.81,-0.63,-0.57,0.27,0.77,0.9,1.25,1.03,NA,-1.36,-0.82,0.45,0.03,0.35
ADE4,'de novo' IMP biosynthesis*,amidophosphoribosyltransferase activity,YMR300C,-0.06,-0.04,-0.33,-0.37,-0.22,0.05,-0.28,-0.26,-0.05,-0.12,-0.09,-0.17,-0.46,-0.25,-0.1,-0.04,0.21,0.46,-0.37,-0.44,-0.34,-0.38,-0.11,-0.43,-0.27,0.32,0.22,0.22,0.32,0.38,-0.72,-0.55,-0.13,0.16,-0.16,-0.03
ABC1,ubiquinone biosynthesis,molecular function unknown,YGL119W,-0.05,-0.28,-0.37,-0.31,0.1,0.26,0,0.07,-0.12,0.07,0.17,0.25,-0.15,-0.19,-0.24,-0.58,-0.32,-0.14,0.07,-0.52,-0.17,-0.38,-0.16,-0.27,-0.37,-0.16,-0.1,0.08,0.12,0.16,-0.32,-0.46,-0.2,-0.08,-0.07,0.07
DLD2,biological process unknown*,actin binding*,YDL178W,-0.1,-0.09,0.01,-0.01,-0.03,0.13,-0.33,-0.26,-0.29,0.18,0,-0.2,-0.05,0.14,-0.19,-0.35,-0.21,-0.2,-0.03,-0.56,-0.11,-0.46,-0.08,-0.57,-0.25,0,0.24,0.15,0.07,-0.04,-0.76,-0.75,-0.23,-0.05,-0.29,-0.3
PHA2,"phenylalanine biosynthesis, prephenate pathway",prephenate dehydratase activity,YNL316C,-0.01,-0.08,-0.19,-0.1,-0.11,-0.1,-0.54,-0.28,-0.24,-0.36,-0.18,0.09,-0.16,-0.01,-0.19,-0.17,-0.02,0.21,0.2,-0.45,-0.18,-0.12,-0.21,-0.09,-0.28,-0.22,0.13,0.09,-0.12,-0.18,-0.01,-0.13,-0.24,-0.02,0.09,0.01
,,,YLR236C,-0.42,NA,-0.71,-0.47,-0.43,-0.19,-0.46,-0.2,-0.22,-0.22,-0.32,-0.11,-0.77,-0.34,-0.13,-0.68,-0.07,0.03,0.41,-0.77,-0.19,-0.41,-0.25,-0.06,-0.65,-0.66,-0.04,0.19,0.12,-0.02,NA,-1.02,-0.33,-0.28,0.17,0.28
HAP3,transcription*,transcriptional activator activity,YBL021C,-0.18,0.24,-0.23,0.07,0.23,-0.08,-0.4,-0.14,-0.28,-0.69,-0.71,-0.77,-0.6,-0.19,-0.47,-0.56,-0.56,-0.6,0.83,0.07,-0.26,-0.24,-0.26,-0.25,-0.29,-0.02,-0.11,-0.12,-0.26,-0.39,0.55,-0.4,-0.51,-0.5,-0.66,-0.53
MRPL23,protein biosynthesis*,structural constituent of ribosome,YOR150W,-0.67,-0.19,-0.51,-0.28,0.07,-0.05,-0.79,-0.2,0.06,-0.23,-0.55,-0.74,-0.45,-0.4,-0.14,-0.17,-0.43,-0.39,1.47,-0.01,-0.45,-0.43,-0.39,-0.3,-0.82,-0.73,-0.6,-0.55,-0.52,-0.57,0.26,-0.53,-0.57,-0.57,-0.78,-0.74
,biological process unknown,molecular function unknown,YAL046C,0.05,0.38,-0.17,-0.09,0.16,0.09,-0.63,-0.19,-0.08,-0.17,-0.3,-0.37,-0.42,-0.17,-0.29,-0.11,-0.41,-0.18,0.98,-0.28,-0.15,-0.11,-0.03,-0.08,-0.36,-0.43,-0.37,-0.21,-0.27,-0.12,0.51,-0.26,-0.25,0.02,-0.33,-0.38
,biological process unknown,molecular function unknown,YNL122C,-0.58,0.04,-0.33,-0.07,0.01,-0.16,-1.38,-0.93,-0.02,-0.64,-0.56,-0.92,-0.81,-0.51,-0.36,-0.49,-0.6,-0.62,0.02,-0.38,-0.6,-0.57,-0.4,-0.42,-0.79,-0.7,-0.65,-0.55,-0.45,-0.21,0.59,-0.35,-0.15,-0.05,-0.68,-0.71
MRPL16,protein biosynthesis,structural constituent of ribosome*,YBL038W,-0.12,-0.01,-0.2,0.08,0.04,0.01,-1.06,-0.63,0.16,0,-0.27,-0.75,-0.09,-0.2,-0.32,-0.46,-0.41,-0.86,0.33,-0.57,-0.51,-0.5,-0.4,-0.62,-0.5,-0.22,-0.37,-0.39,-0.46,-0.39,-0.12,-0.55,-0.51,-0.45,-0.78,-0.75
,protein biosynthesis,structural constituent of ribosome,YPL183W-A,-0.61,-0.43,-0.5,-0.08,0.26,0.25,-1.01,-0.96,-0.36,-0.39,-0.5,-0.11,-0.62,-0.55,-0.51,-0.3,-0.53,0.04,0.87,-0.58,-0.45,-0.31,-0.27,-0.12,-0.58,-0.59,-0.36,-0.24,-0.24,-0.02,0.33,-0.31,-0.2,-0.24,-0.3,-0.25
,biological process unknown,molecular function unknown,YDL241W,-1.06,-0.87,-1.39,-0.74,0.73,0.78,-2.08,-1.48,-0.62,-0.53,-0.01,-0.06,-1.66,-1.53,-1.32,-0.93,-0.83,0.03,NA,-1.37,-1.32,-0.79,-0.79,-0.36,-2,-1.36,-1.73,-1.67,-0.41,-0.28,NA,-1.65,-1.48,-0.64,-0.37,0.13
,,,YPR123C,0.43,-0.14,-0.33,-0.02,0.22,-0.04,-0.39,-0.36,-0.04,-0.39,-0.35,-0.27,-0.47,-0.49,-0.31,-0.22,-0.04,-0.12,NA,-0.27,0.03,0.1,-0.26,-0.12,-0.7,-0.92,-0.59,NA,-0.49,-0.48,NA,-0.69,-0.72,-0.49,-0.65,-0.45
,biological process unknown,molecular function unknown,YDR132C,0.01,0.04,0.05,0,-0.12,-0.17,-0.4,-0.25,-0.12,-0.26,-0.37,-0.32,-0.22,-0.36,-0.43,-0.49,-0.5,-0.13,0.66,0.06,0.02,-0.09,-0.21,-0.23,-0.48,-0.3,-0.22,-0.24,-0.35,-0.22,-1.02,-0.56,-0.7,-0.46,-0.62,-0.44
AI3,biological process unknown,endonuclease activity,Q0060,-0.23,-0.23,0.35,-0.14,-0.04,0.1,-0.51,-0.61,0.08,-0.4,-0.07,-0.8,-0.92,-0.82,-0.65,-0.33,-0.43,NA,0.46,0.54,0.47,-0.15,0.01,-0.79,-2.15,-0.8,-0.18,-0.51,-0.76,-1.14,NA,-1.63,-1.3,-1.16,-1.37,-1.34
COX1,aerobic respiration*,cytochrome-c oxidase activity,Q0045,-0.59,-0.48,0.14,-0.09,0.34,0.66,-1.19,-1.34,-0.5,-0.45,0.18,-0.3,-0.56,-0.64,-0.66,-0.32,-0.61,-0.1,-0.2,-0.47,-0.15,-0.41,-0.44,-0.45,-0.76,-0.4,0.02,-0.35,-0.28,-0.69,-0.58,-2.02,-1.13,-0.79,-0.89,-0.74
,,,Q0182,-1.06,-0.56,0.14,-0.42,-0.04,0.12,-2.39,-1.61,-0.41,-0.52,-0.18,-0.56,-1.16,-1.19,-0.91,-0.4,-0.62,-0.39,0.34,-0.26,-0.08,-0.31,-0.37,-0.27,-1.67,-0.62,0.05,0.03,-0.04,-0.19,-0.86,-1.98,-1.09,-0.38,-1.2,-1.26
VAR1,protein biosynthesis*,structural constituent of ribosome,Q0140,-1.17,-0.3,-0.08,-1.03,-0.57,-0.23,-2.45,-1.98,-0.84,-1,-0.36,-1.11,-0.66,NA,NA,NA,-0.3,NA,0.36,0.45,0.14,0.01,-0.18,-0.17,-1.13,-0.73,0.07,-0.01,-0.1,-0.34,-0.68,-2.09,-0.7,-0.08,-1.32,-1.61
COX3,aerobic respiration*,cytochrome-c oxidase activity,Q0275,-0.81,-0.79,-0.08,-0.7,-0.31,-0.37,-1.91,-1.47,-0.2,-0.54,-0.3,-0.7,-0.3,-0.54,-0.64,0.3,0.38,0.37,0.16,0.27,0.02,-0.11,-0.22,0.01,-1.39,-0.36,-0.14,-0.19,-0.26,-0.78,-0.71,-1.84,-1.11,-0.76,-1.35,-1.24
COX2,aerobic respiration*,cytochrome-c oxidase activity,Q0250,-0.89,-0.74,-0.31,-0.95,-0.57,-0.54,-1.57,-0.94,-0.36,-0.31,-0.12,-0.76,NA,NA,NA,NA,NA,NA,1.26,0.18,0.11,-0.23,-0.27,-0.3,-1.44,-0.51,-0.29,-0.47,-0.39,-0.85,0.36,-1.79,-1.18,-0.57,-1.5,-1.67
AI5_BETA,biological process unknown,molecular function unknown,Q0075,-0.77,-0.48,-0.41,-1.03,-0.61,-0.06,-2.14,-2.18,-1.14,-0.89,-0.51,-1.12,-0.02,-0.61,-0.23,0.32,-0.26,-0.61,-0.47,-0.12,0.27,-0.24,-0.49,-0.61,-1.27,-1.1,-0.63,-0.79,-0.94,-1.64,-1.02,-2.51,-1.8,-1.49,-1.85,-1.97
AI2,RNA splicing,RNA binding*,Q0055,-0.92,-0.78,-0.06,-0.39,-0.34,-0.14,-0.92,-1.57,-0.84,-0.88,-0.32,-0.89,-0.15,-0.3,-0.45,-0.12,-0.25,0.01,-0.86,-0.41,-0.33,-0.51,-0.51,-0.47,-0.08,-0.51,-0.07,-0.44,-0.61,-0.82,-1.31,-1.71,-0.85,-0.51,-1.03,-1.26
,biological process unknown,molecular function unknown,YLR042C,0.01,0.41,0.41,0.23,0.31,0.86,-2.11,-1.88,-0.45,-0.4,-0.15,0.34,-0.38,-0.35,-0.83,-0.58,-0.93,-0.62,NA,-0.78,-0.93,-0.47,-0.33,0.19,-1.34,-1,-0.37,-0.19,0.11,0.05,-0.69,-0.44,-0.5,-0.6,-0.79,-0.22
,,,YLR255C,-0.56,-0.24,-0.29,-0.19,0.06,0.02,-0.9,-0.84,-0.36,-0.64,-0.39,-0.09,-0.56,-0.62,-0.48,-0.41,-0.28,-0.05,NA,-0.27,-0.11,-0.02,0.01,0.03,-0.51,-0.64,-0.53,-0.41,0.14,-0.03,0.51,0.15,0.23,0.01,-0.14,0.2
GPI18,GPI anchor biosynthesis,mannosyltransferase activity,YBR004C,-0.37,-0.64,-0.23,-0.31,-0.18,-0.13,-1.36,-0.96,-0.41,-0.56,-0.37,-0.26,-0.84,-1,-0.97,-0.63,-0.8,-0.26,-0.73,-0.72,-0.52,-0.21,-0.51,0.05,-0.78,-0.35,-0.76,-0.32,0.01,-0.29,0.1,-0.25,-0.2,-0.31,0.22,0.25
COS9,biological process unknown,molecular function unknown,YKL219W,0.45,0.32,-0.03,-0.18,-0.32,-0.23,-0.55,-0.24,0,-0.21,-0.3,-0.4,-1.22,-1.17,-0.72,-0.67,-0.6,-0.4,-0.49,-0.06,-0.5,-0.2,-0.25,-0.03,-0.21,-0.12,-0.52,-0.18,-0.2,-0.36,0.05,0.05,0.01,-0.11,0.04,0.14
,biological process unknown,molecular function unknown,YLR407W,-0.25,0.09,-0.13,-0.32,-0.33,-0.51,-0.33,-0.23,-0.15,-0.61,-0.47,-0.44,-0.51,-0.59,-0.78,-0.9,-0.38,-0.5,-0.29,0.02,-0.18,-0.13,-0.15,-0.1,-0.26,0.06,-0.39,-0.32,-0.28,-0.2,0.17,0.13,0.07,-0.15,-0.08,0.03
,biological process unknown,molecular function unknown,YLL023C,0.01,-0.44,-0.14,-0.02,-0.41,-0.5,-0.16,-0.13,-0.65,-0.44,-0.67,-0.4,-0.04,-0.27,-0.75,-0.35,-0.8,-0.43,-1.09,-0.62,-0.71,-0.41,-0.76,-0.2,-0.4,-0.33,-0.29,-0.06,0.15,-0.12,-0.64,0.24,-0.12,-0.18,0.37,0.22
PRP46,"nuclear mRNA splicing, via spliceosome",molecular function unknown,YPL151C,-0.03,-0.14,-0.02,0.04,-0.09,-0.08,0.08,-0.14,-0.22,-0.37,-0.09,-0.07,-0.04,0.03,0.06,0.02,0.02,-0.18,-0.44,-0.51,-0.12,-0.4,-0.34,-0.37,-0.07,-0.31,-0.25,-0.3,-0.19,-0.25,0.16,-0.14,-0.22,-0.24,-0.26,-0.2
XDJ1,biological process unknown,chaperone regulator activity,YLR090W,-0.1,0.16,-0.1,-0.03,-0.09,-0.2,0.13,-0.2,-0.79,-0.72,-0.86,-0.66,-0.75,-0.37,-0.3,-0.42,-0.05,-0.34,-1.45,-0.47,-0.44,-0.58,-0.45,-0.63,0.07,-0.18,-0.24,-0.44,-0.74,-0.97,-0.75,-1.12,-0.92,-0.77,-1.03,-0.74
SLG1,cell wall organization and biogenesis*,transmembrane receptor activity,YOR008C,-0.06,-0.28,-0.16,-0.2,-0.47,-0.56,0.71,0.17,-0.5,-0.64,-0.44,-0.3,-0.31,-0.12,-0.15,-0.34,0.03,-0.38,-1.14,-0.23,-0.49,-0.5,-0.43,-0.56,0.03,-0.26,-0.19,-0.39,-0.37,-0.43,-0.38,-0.19,-0.41,-0.7,-0.52,-0.36
MAM3,mitochondrion organization and biogenesis*,molecular function unknown,YOL060C,0.14,-0.43,-0.2,-0.09,-0.34,-0.56,0.28,-0.17,-0.8,-0.82,-0.66,-0.55,-0.07,-0.14,-0.11,-0.02,-0.27,-0.18,-1.16,-0.5,-0.62,-0.54,-0.78,-0.51,-0.13,-0.64,-0.54,-0.64,-0.54,-0.5,-0.3,-0.19,-0.45,-0.62,-0.47,-0.37
AEP1,protein biosynthesis,molecular function unknown,YMR064W,-0.31,-0.32,-0.13,0,-0.12,-0.28,-0.13,-0.29,0.07,-0.32,-0.16,-0.46,0.05,-0.05,-0.05,-0.12,-0.39,-0.63,-0.99,-0.4,-0.42,-0.4,-0.45,-0.41,-0.37,-0.27,-0.49,-0.51,-0.4,-0.43,-0.92,-0.47,-0.42,-0.49,-0.6,-0.4
UGO1,transport*,transporter activity,YDR470C,-0.17,-0.44,-0.31,0.01,0.02,0,0.16,-0.06,-0.25,-0.18,-0.37,-0.15,-0.13,-0.11,-0.11,-0.21,-0.1,-0.31,-0.61,-0.48,-0.44,-0.41,-0.31,-0.36,-0.36,-0.21,-0.02,-0.11,-0.1,0.04,-0.22,0,-0.12,-0.29,-0.11,-0.05
,biological process unknown,molecular function unknown,YDL156W,-0.32,-0.3,-0.16,0.11,0.04,0.15,0.47,-0.02,-0.78,-0.49,0.08,0.14,0.05,-0.01,-0.12,-0.13,0,-0.27,NA,-0.43,-0.35,-0.21,-0.39,-0.39,-0.16,-0.4,0.06,-0.2,0.07,-0.23,-0.03,-0.64,-0.14,-0.11,-0.26,-0.15
RSC2,chromatin remodeling*,molecular function unknown,YLR357W,-0.47,-0.39,0.1,0.06,0.11,-0.01,0.43,0.09,-0.69,-0.54,-0.32,-0.02,-0.42,-0.17,-0.35,-0.24,0.04,-0.1,-0.56,-0.44,-0.32,-0.35,-0.41,-0.27,-0.19,-0.35,0.21,-0.11,0.03,-0.17,0.02,-0.7,-0.22,-0.15,-0.14,-0.15
YAP1801,endocytosis,clathrin binding,YHR161C,-0.05,-0.07,0.14,-0.04,-0.29,-0.1,0.45,0.22,-0.5,-0.87,-0.49,-0.26,-0.56,-0.52,-0.49,-0.4,-0.26,-0.27,-0.19,-0.55,-0.35,-0.64,-0.51,-0.35,-0.16,-0.25,-0.12,-0.12,-0.17,-0.31,-0.67,-0.2,-0.12,-0.08,0.19,0.03
ZPR1,regulation of progression through cell cycle,protein binding,YGR211W,0,-0.66,-0.56,-0.32,-0.22,0,0.64,-0.27,-1.08,-0.99,-0.62,0.05,-0.13,-0.38,-0.75,-0.93,-0.44,-0.42,-0.21,-0.79,-0.53,-0.69,-0.52,-0.41,-0.23,-0.35,-0.44,-0.46,-0.14,0.04,-0.68,-0.41,-0.17,-0.23,-0.14,0.16
BCD1,snoRNA metabolism,nucleic acid binding,YHR040W,0,-0.15,-0.12,-0.3,-0.1,-0.03,0.37,-0.11,-1.24,-0.98,-0.53,-0.16,-0.51,-0.4,-0.46,-0.4,-0.13,-0.48,-0.07,-1.12,-0.7,-0.97,-0.7,-0.79,-0.15,-0.33,-0.44,-0.44,0.08,-0.04,-0.39,-0.52,-0.06,-0.36,-0.54,-0.07
UBP10,chromatin silencing at telomere*,ubiquitin-specific protease activity,YNL186W,0.07,-0.35,0.06,0.01,-0.01,0.09,0.73,0.21,-1,-0.54,-0.29,-0.04,-0.08,-0.3,-0.46,-0.38,-0.3,-0.39,0.02,-0.66,-0.84,-0.57,-0.48,-0.46,-0.05,-0.45,0.05,-0.14,-0.01,0.04,-0.72,-0.56,-0.16,-0.26,-0.16,-0.27
SLD3,DNA replication initiation*,chromatin binding,YGL113W,-0.31,-0.29,-0.28,-0.27,-0.11,-0.02,0.26,0.06,-0.33,-0.3,-0.31,-0.15,0.02,-0.02,0.01,-0.18,-0.11,-0.15,-0.34,-0.38,-0.18,-0.25,-0.13,-0.24,-0.05,-0.09,-0.23,-0.1,-0.04,-0.14,0.14,-0.49,-0.27,-0.28,-0.13,-0.12
RLF2,nucleosome assembly,transcription regulator activity,YPR018W,-0.69,-0.9,-0.95,-0.78,-0.62,-0.52,0.45,0.08,-0.72,-0.52,-0.38,-0.39,-0.12,0.03,-0.04,-0.24,-0.04,-0.39,0.04,-0.77,-0.52,-0.68,-0.42,-0.7,-0.53,-0.74,-0.5,-0.52,-0.47,-0.14,-0.52,-0.81,-0.64,-0.45,-0.42,-0.32
LRO1,triacylglycerol biosynthesis*,phospholipid:diacylglycerol acyltransferase activity,YNR008W,-0.36,-0.54,-0.25,-0.17,-0.32,-0.23,0.3,-0.1,-0.52,-0.55,-0.2,-0.08,-0.12,0.06,0.08,0.23,0.39,0.22,-0.54,-0.74,-0.49,-0.75,-0.46,-0.49,-0.33,-0.52,0.09,-0.28,-0.1,-0.03,0.24,-0.34,-0.36,-0.1,-0.19,-0.05
,biological process unknown,molecular function unknown,YDR348C,-0.74,-0.79,-0.65,-0.47,-0.13,-0.26,0.4,-0.31,-0.76,-0.88,-0.33,-0.26,-0.27,-0.07,0.02,0.27,0.28,0.07,-0.26,-0.87,-0.55,-0.47,-0.53,-0.39,-0.28,-0.44,-0.29,-0.38,-0.25,-0.25,-0.62,-0.44,-0.12,-0.41,-0.15,-0.18
ITR2,myo-inositol transport,myo-inositol transporter activity,YOL103W,-0.8,-0.54,-0.46,-0.51,-0.36,-0.35,0.12,-0.11,-0.52,-0.7,-0.28,-0.25,-0.53,-0.19,0.03,0.14,0.24,-0.03,-0.59,-0.28,-0.47,-0.43,-0.32,-0.28,-0.37,-0.54,-0.22,-0.32,-0.13,-0.22,-0.28,-0.06,-0.01,-0.33,-0.2,-0.05
ABP140,actin cytoskeleton organization and biogenesis,S-adenosylmethionine-dependent methyltransferase activity*,YOR239W,-0.51,-0.66,-0.25,-0.02,-0.25,-0.15,0.01,-0.33,-1.01,-0.68,-0.52,-0.25,-0.51,-0.07,-0.21,-0.07,0.2,0.23,-1.43,-0.69,-0.51,-0.5,-0.38,-0.51,-0.55,-0.6,-0.35,-0.55,-0.2,-0.24,-0.7,-0.51,-0.22,-0.6,-0.4,-0.22
STT3,protein amino acid N-linked glycosylation,dolichyl-diphosphooligosaccharide-protein glycotransferase activity,YGL022W,-0.64,-0.45,-0.4,-0.26,-0.21,0.09,0.08,0.07,-1.22,-0.87,-0.68,-0.01,-0.58,-0.29,-0.26,0.08,0.24,0.52,-0.96,-0.71,-0.56,-0.62,-0.7,-0.49,0.02,-0.21,-0.1,-0.2,-0.11,0,-0.14,-0.42,-0.23,-0.26,-0.24,0.02
PTC2,G1/S transition of mitotic cell cycle*,protein phosphatase type 2C activity,YER089C,-1.04,-0.5,-0.02,-0.2,-0.17,-0.19,0.48,0.14,-1.22,-1.15,-0.69,0.29,-0.41,-0.17,-0.24,0.07,0.44,0.08,-0.22,-0.53,-0.94,-0.72,-0.69,-0.53,-0.41,-0.63,-0.32,-0.34,-0.15,-0.42,-0.02,-0.57,-0.14,-0.59,-0.45,0.04
STE20,protein amino acid phosphorylation*,protein serine/threonine kinase activity,YHL007C,-0.45,-0.2,-0.04,0.02,-0.04,-0.24,0.19,-0.22,-0.47,-0.91,-0.28,-0.2,-0.08,-0.14,-0.09,0.08,0.13,0.38,-0.36,-0.39,-0.31,-0.16,-0.45,-0.12,-0.11,-0.29,-0.13,-0.14,-0.15,-0.07,0.01,-0.19,-0.23,-0.15,-0.07,-0.13
HRD3,ER-associated protein catabolism,ubiquitin-protein ligase activity,YLR207W,-0.16,-0.31,-0.13,-0.08,-0.14,-0.18,0.49,0.04,-0.6,-0.73,-0.51,-0.18,0.22,-0.01,-0.09,0.06,-0.08,0.06,-0.09,-0.26,-0.49,-0.45,-0.48,-0.26,0.05,0.13,-0.12,-0.19,-0.07,-0.2,-0.12,-0.46,-0.35,-0.32,-0.35,-0.04
CWH43,cell wall organization and biogenesis*,molecular function unknown,YCR017C,-0.53,-0.51,-0.55,-0.41,-0.21,-0.27,-0.36,-0.36,-0.9,-0.87,-0.81,-0.7,-0.04,-0.14,-0.56,-0.37,-0.59,-0.1,-0.53,-0.44,-0.68,-0.58,-0.94,-0.48,0.02,-0.07,-0.25,-0.17,-0.27,-0.49,-0.73,-0.64,-0.65,-0.7,-0.48,-0.49
ASK10,response to oxidative stress*,transcription regulator activity,YGR097W,-0.44,-0.73,-0.49,-0.71,-0.26,-0.14,0.27,-0.32,-1.22,-1.36,-1.14,-0.68,0.03,-0.31,-0.37,-0.38,-0.15,0.04,-0.7,-0.88,-0.95,-0.79,-0.9,-0.61,0.03,-0.18,-0.04,-0.17,-0.26,-0.36,-0.18,-0.16,-0.35,-0.43,-0.51,-0.36
MPE1,mRNA polyadenylylation*,RNA binding,YKL059C,-0.23,-0.51,-0.25,-0.26,-0.39,-0.29,0.21,-0.23,-0.94,-0.9,-0.71,-0.52,-0.36,-0.13,-0.13,-0.48,-0.08,-0.28,-0.3,-0.61,-0.55,-0.57,-0.35,-0.37,-0.2,-0.21,-0.15,-0.27,-0.09,-0.24,-0.28,-0.67,-0.43,-0.22,-0.44,-0.11
SWC3,chromatin remodeling*,molecular function unknown,YAL011W,-0.18,-0.58,-0.26,-0.11,-0.13,-0.03,0.04,-0.26,-0.53,-0.3,-0.23,-0.31,-0.11,-0.14,0,-0.16,-0.21,-0.14,-0.14,-0.57,-0.54,-0.43,-0.25,-0.43,0.05,0.06,-0.09,-0.18,-0.23,-0.01,0.02,-0.37,-0.45,-0.28,-0.38,-0.23
TSA1,response to oxidative stress*,thioredoxin peroxidase activity,YML028W,-0.65,-0.43,-0.25,0.07,0,-0.06,-0.24,-0.54,-1.3,-0.96,-0.75,-0.08,0.23,0.14,-0.1,-0.21,-0.11,0.01,-0.35,-0.83,-0.65,-0.47,-0.57,-0.26,-0.35,-0.44,-0.45,-0.36,-0.24,-0.27,-0.53,-0.2,-0.17,-0.31,-0.37,-0.24
ADE17,'de novo' IMP biosynthesis*,IMP cyclohydrolase activity*,YMR120C,-0.88,-0.67,-0.71,-0.31,-0.13,-0.01,-0.27,-0.17,-0.71,-0.91,-0.73,-0.18,-0.55,-0.37,-0.17,-0.29,0.2,0.27,-0.22,-0.94,-1.06,-0.91,-0.92,-0.58,-0.93,-0.34,0.01,-0.11,0.09,0.22,-0.99,-0.61,-0.46,-0.21,-0.26,0.26
GFD2,biological process unknown,molecular function unknown,YCL036W,-1.25,-0.96,0.06,-0.24,-0.17,0.08,-0.91,-0.7,-1.56,-1.43,-0.87,-0.37,-0.89,-0.56,-0.12,-0.34,0.12,0.09,NA,-1.48,-1.29,-0.89,-0.99,-0.42,-0.97,-1.14,-1.05,-0.8,-0.49,0.02,-1.33,-1.21,-0.42,-0.29,-0.32,0.11
PXR1,35S primary transcript processing*,RNA binding,YGR280C,-0.48,-0.91,-0.27,-0.22,0.02,0.21,-0.85,-0.51,-1.05,-0.64,-0.21,0.08,-0.49,-0.39,0.1,-0.28,0.28,-0.25,-0.17,-1.11,-0.9,-0.67,-0.42,-0.43,-0.61,-0.72,-0.43,-0.55,-0.08,0.23,-0.6,-0.77,0.01,0.09,-0.05,0.17
,karyogamy,molecular function unknown,YNL313C,-0.24,-0.36,-0.38,-0.3,-0.1,0.14,-0.11,-0.36,-0.65,-0.7,-0.52,0.01,-0.11,0.12,0.18,0.14,0.35,0.48,-0.42,-0.56,-0.51,-0.48,-0.41,-0.24,-0.21,-0.36,-0.4,-0.34,-0.1,-0.07,-0.78,-0.92,-0.38,-0.52,-0.27,-0.04
BUD14,cellular morphogenesis during vegetative growth,molecular function unknown,YAR014C,-0.12,-0.04,-0.15,-0.1,-0.03,-0.01,0.16,-0.12,-0.54,-0.43,-0.24,-0.19,0.04,0.19,0.1,0.21,0.32,0.21,-0.49,-0.13,-0.31,-0.21,-0.27,-0.21,-0.06,-0.08,-0.16,-0.2,-0.14,-0.11,-0.55,-0.63,-0.27,-0.28,-0.36,-0.18
AUS1,sterol transport,"ATPase activity, coupled to transmembrane movement of substances",YOR011W,0.04,0.03,-0.78,-0.83,-0.38,-0.27,-0.54,-0.27,-0.18,-0.65,-0.57,-0.44,-0.56,-0.61,-0.56,-0.3,-0.37,-0.12,-0.87,0.01,-0.31,-0.26,-0.58,-0.08,-0.36,0.05,-0.15,0.04,0.08,-0.03,-1.23,-0.98,-0.91,-0.62,-0.38,-0.11
NHX1,vacuolar acidification*,monovalent inorganic cation transporter activity,YDR456W,-0.82,-0.69,-0.6,-0.48,-0.58,-0.68,-0.29,-0.31,-0.48,-0.41,-0.53,-0.35,-0.5,-0.71,-0.68,-0.19,-0.42,-0.33,-0.97,-0.35,-0.32,-0.37,-0.64,-0.23,-0.21,0.03,-0.19,-0.08,-0.16,-0.53,-1.22,-0.32,-0.59,-0.54,-0.3,-0.24
NTE1,phosphatidylcholine metabolism,hydrolase activity*,YML059C,-0.32,-0.25,-0.33,-0.21,-0.27,-0.36,-0.25,-0.15,-0.06,-0.53,-0.5,-0.52,-0.52,-0.49,-0.7,-0.38,-0.61,-0.07,-0.38,-0.13,-0.2,-0.17,-0.37,-0.11,-0.24,-0.43,-0.39,-0.45,-0.34,-0.43,-0.7,-0.65,-0.73,-0.59,-0.37,-0.39
,biological process unknown,molecular function unknown,YBR197C,-0.35,-0.3,-1.23,-0.14,-0.36,-0.19,-0.17,-0.07,-0.02,-0.38,-0.11,-0.19,-0.94,-0.75,-0.37,-0.5,0.04,-0.15,-0.59,-0.49,-0.35,-0.5,-0.38,-0.43,-0.65,-0.23,-0.35,-0.42,-0.57,-0.43,-0.78,-0.17,-0.34,-0.71,-0.49,-0.31
KIN3,chromosome segregation,protein kinase activity,YAR018C,-0.83,-0.85,-0.65,-0.47,0.06,-0.06,-0.68,-0.27,0.09,-0.11,0.19,0.04,-0.74,-0.56,-0.19,-0.21,-0.19,-0.25,-0.66,-0.82,-0.17,-0.27,-0.11,-0.18,-0.93,-0.49,-0.02,-0.05,-0.29,-0.41,-1.14,-0.32,-0.36,-0.34,-0.31,-0.3
